text,label
云南永善县级地震已致人伤间民房受损中新网月日电据云南昭通市防震减灾局官方网站消息截至日时云南昭通永善县级地震已造成人受伤其中重伤人轻伤人已全部送医院救治民房受损户间倒塌户间个乡镇所学校不同程度受损目前被损毁电力交通通讯设施已全部抢通修复当地已调拨帐篷顶紧急转移万人月日时分云南昭通永善县发生里氏级地震震源深度公里当地震感强烈此外成都等四川多地也有明显震感,地震
四川蓬安县房屋瓦片被震落广西陕西震感强烈年月日月日时分四川汶川发生级地震时分新民网记者电话连线上海网友何女士何女士得知四川发生地震随即打电话给身处四川蓬安县徐家镇黄坪乡的父亲据何女士介绍蓬安县距此次地震的中心区域汶川县大约七八十公里当地很多电话无法拨通何女士引述其父亲的话说当地房屋出现明显震感房顶的瓦片被震落目前当地的村民不敢呆在家里都躲在平地处另有新民网广西网友留言称下午点半办公室晃动以为是地基出问题了急忙跑下楼楼下站满了人我从来没有感觉过地震我们是丘陵地带从来没有过地震我的位置在广西桂林电话联系南宁的朋友南宁也有地震陕西网友跟帖称陕西富平震感明显持续时间秒,地震
四川汶川强地震近万人丧生中国各界奋力救灾中新社北京五月十三日电综合消息截至北京时间十时北京时间五月十二日十四时二十八分四川汶川县发生七点八级地震本次四川地震震级高有感范围大波及宁夏甘肃陕西山西山东河南湖北湖南重庆贵州云南广西西藏江苏辽宁北京上海等地强震造成近万人丧生因此次四川地震震级高又属浅源性地震释放能量剧烈给当地民众生命财产造成巨大的伤害和损失据中国民政部统计截至十三日九时四川汶川县地震已造成四川甘肃陕西重庆云南山西贵州湖北八省市共九千二百余人死亡倒塌房屋五十余万间决策层分层布置确定救灾方针汶川地震发生后五月十二日晚中共中央政治局召开常委会议全面部署当前抗震救灾工作中共中央总书记胡锦涛主持会议决定成立抗震救灾总指挥部由温家宝任总指挥李克强回良玉任副总指挥全面负责当前的抗震救灾工作会议要求要立即组织人民解放军武警部队民兵预备役和医疗卫生人员尽快赶赴灾区全力抢救受伤人员要千方百计向灾区运送食品饮用水药品和帐篷防寒衣被等救灾物资确保灾区群众有饭吃有衣穿有干净水喝有临时住处要迅速组织力量抓紧抢修受损的设施和设备尽快恢复灾区的通路通电通信和供水解放军五万余人陆空开进灾区据中央电视台报道目前已有近两万解放军和武警官兵到达灾区开展救援另有二点四万名官兵紧急空运到重灾区还有一万名官兵通过铁路输送前往灾区实施应急救助三千名公安消防和特警也将紧急调往灾区中国国际救援队也已抵达灾区开始救援有关部委迅速开展抗震救灾汶川地震发生后国家有关部门立即行动起来开展抗震救灾工作中国民政部紧急调拨五千顶帐篷支援灾区民政部长李学举亲赴灾区协助指导抗震救灾工作卫生部组织十余支卫生应急队伍已启程赶赴灾区中国红十字会总会十二日紧急向灾区调拨五百余顶单帐篷二千五百床棉被等价值七十八万余元人民币的救灾物资全国总工会向灾区紧急拨款一百万元救灾慰问金解决受灾职工生产生活困难国际社会密切关注表示关切国际社会对四川汶川地震给予了极大关注多国政府首脑纷纷致电中国政府对死难者表示了深切哀悼联合国秘书长潘基文十二日晚致电中国外交部长杨洁篪代表联合国向中国地震死难者表沉痛哀悼表示联合国将全力支持中国的救灾和重建工作美国总统布什十二日发表声明向在四川地震中的死难者表示沉痛哀悼而美国也准备好协助中国政府救灾日本首相福田康夫十二日晚通过中国驻日本大使馆致电胡锦涛和温家宝向地震灾区表示慰问并表示准备尽力提供所需援助此外海外华侨华人已开始捐款捐物表示尽己之力帮助灾区民众抗震救灾,地震
四川发生级地震波及云南多个地区年月日中新社昆明月三十日电八记者甘娜刘子倩八月三十日十六时三十分四川省攀枝花市仁和区与四川省凉山彝族自治州会理县交界处发生六点一级地震云南省的楚雄昆明丽江大理等多个地区有强烈震感目前暂无人员伤亡报告云南省楚雄彝族自治州永仁县距震中仅八十九公里记者致电该县县委办公室据工作人员介绍该县震感极为强烈县委书记已赶到该县地震局开紧急会议永仁县目前已逐一给下辖的各乡镇打去电话要求从乡镇到居委会第一时间统计人员伤亡情况据一位值班官员介绍该县的村镇损失较为严重倒塌房屋较多而县城的一些砖墙倒塌房屋顶瓦片破损另据该县地震局相关人士透露由于手机通讯中断乡镇的统计数据仍无法进一步汇总此外云南省会昆明也有强烈震感许多市民冒雨走上街头通讯短暂中断现已恢复正常丽江市与四川省攀枝花市相邻较近的华坪和永胜两个县也有强烈震感截至记者发稿时还没有收到云南省人员伤亡的报告完,地震
四川攀枝花地震已部分房屋垮塌年月日新华网成都月日电记者肖林杨三军记者从攀枝花仁和区和凉山彝族自治州会理县了解到日时分在两地交界处发生的级地震已造成部分乡镇房屋垮塌扯裂尚未接到人员伤亡报告记者从仁和区委和会理县值班室电话联系获悉两地城区震感明显但无房屋倒塌震区人员已跑出住房当地政府正在组织抢险因地震造成通讯障碍当地大多乡镇仍然联系不上据仁和区委值班室值班人员介绍该区平地镇反映镇上已出现房屋倒塌扯裂现象没有接到人员伤亡报告其他乡镇一直打不进电话估计灾情较重的应是大龙潭乡和平地镇记者从攀枝花市仁和区有关部门了解到到时分当地至少发生二三次有明显震感的余震沿金沙江一带估计有房屋倒塌和人员伤亡当地重灾乡镇为大龙潭乡平地镇因电话不通仁和区委区政府领导已赶赴这两个乡镇区委所在地仁和镇暂未发现房屋倒塌和人员伤亡据会理县政府值班室人员介绍该县已联系上江竹乡该乡学校房屋在地震中扯裂其他乡镇也因通讯障碍无法联系上估计灾情会出现在沿金沙江的一些乡镇,地震
宁夏银川发生有感地震持续时间秒左右年月日今天时分宁夏回族自治区首府银川市发生有感地震震动时间持续秒左右时分左右记者在办公室里忽然觉得有震感以为发生错觉待抬头看悬挂着的日光灯时发现灯在晃动后发现水桶里的矿泉水也在晃动记者急忙跑到楼道此时的感觉就像楼在水中漂记者从四楼跑到楼下发现楼下已经站满了人大家都在议论刚才发生的地震与记者站邻近的一家学校已把所有学生全部疏散到空旷的场地此次有感地震震级多少震中在哪里目前尚未得知,地震
甘肃兰州震感明显年月日新华网兰州月日电受强烈地震影响日时分许兰州市区感受到明显震感市民纷纷走上街头避险学校等单位也立即疏散人群到安全场所避险大量停靠在路边的车辆受震动影响警报器纷纷响起手机通讯一度普遍受阻中广网消息今天下午时分记者正在写稿时电脑桌忽然摇曳起来紧接着房间的衣架也不停摇来摇去当记者站起身来时觉得整个房间呈由北向南摇摆后来感觉整座办公大楼也一样摇来摆去此时房间的写字台和书柜发出了吓人的咯吱咯吱的响声后来听见楼下院子里有人喊地震了地震了而这种摇曳大约至少持续了分钟时间据记者所知近期地震部门没有任何预报有关震级和震中等相关信息记者将前往地震部门作进一步了解,地震
尼加拉瓜太平洋沿岸发生级地震尼加拉瓜西南部太平洋沿岸日下午发生级地震目前人员伤亡和财产损失情况不明尼加拉瓜政府发言人罗萨里奥穆里略当天通过全国电视网络证实地震发生在当地时间日时分北京时间日时分震中位于西南部城市楠代梅附近距离首都马那瓜公里震源深度公里地震持续时间约秒马那瓜莱昂等多个城市震感非常强烈尼加拉瓜西北部日刚发生级地震及逾百次余震截至目前已导致人死亡多人受伤多间房屋遭受不同程度损坏尼总统奥尔特加日凌晨宣布该国进入紧急状态数千名震区内的危房住户被紧急转移当地所有学校停课主要商业设施关闭记者在首都街头看到地震发生后人们纷纷涌上街头和附近空地避险许多民众自日晚到现在一直没敢回家首都地区的许多住宅墙体开裂,地震
国家地震台网台湾高雄日时分发生级地震年月日新华社北京月日电据国家地震台网测定月日时分在台湾省高雄县北纬度东经度发生级地震,地震
四川地震对云南有一定影响部分地区房屋已出现倒损年月日新华网昆明月日电日四川发生地震后对云南的昭通等地造成一定影响部分房屋已出现倒损据云南省地震局监测预报处处长吴国华介绍当天四川地震震中距离云南昆明大约有公里距离滇东北与四川交界最近处有公里左右这次地震对昭通影响较大昆明的市民普遍有震感但没有太多影响记者在昭通市现场感觉到震感很强烈持续时间有几分钟记者了解到到当日时许昭通市尚未有人员伤亡报告据昭通市地震局局长徐家金介绍昭通震感非常强烈当时有的房屋左右晃动公园水池里的水被震荡起来有几分钟电话全部中断还有一些老房子已经垮了目前当地地震部门正在进行震情收集,地震
